frame_index,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24
35,262.1263122558594,313.9607849121094,307.58502197265625,556.0408325195312,1753.920654296875,322.9861755371094,614.8326416015625,1860.976318359375,416.7716979980469,412.9766845703125,956.8726806640625,1343.452392578125,412.7961730957031,989.1057739257812,1380.2894287109375,249.1541290283203,254.72341918945312,235.5286865234375,243.2128448486328,0.0,0.0,0.0,0.0,0.0,0.0
36,262.1335144042969,313.96966552734375,315.957763671875,542.7869262695312,1712.91748046875,322.75006103515625,594.5010375976562,1802.812744140625,425.11578369140625,425.4453430175781,972.9296264648438,1343.4515380859375,429.067626953125,1017.0245971679688,1380.2822265625,249.1371612548828,254.72491455078125,232.16180419921875,243.2092742919922,0.0,0.0,0.0,0.0,0.0,0.0
37,256.9916076660156,314.26116943359375,317.5985107421875,547.8674926757812,1682.564697265625,322.5745544433594,576.393310546875,1791.5289306640625,409.8710632324219,410.42816162109375,895.7739868164062,429.8324890136719,409.3700256347656,816.3666381835938,426.9741516113281,244.2916717529297,253.6009063720703,231.61251831054688,243.30262756347656,0.0,0.0,427.09228515625,0.0,0.0,1768.7586669921875
38,257.0614929199219,314.0697937011719,318.521484375,548.5604248046875,1621.2054443359375,323.0137634277344,568.400390625,1732.6187744140625,413.3927917480469,413.9274597167969,895.5746459960938,429.4112243652344,412.80938720703125,851.3511352539062,426.97271728515625,247.79931640625,253.67514038085938,238.50320434570312,243.33583068847656,0.0,0.0,426.95501708984375,0.0,0.0,428.1517333984375
39,248.2506103515625,299.6085205078125,289.4681396484375,477.4200134277344,1479.96826171875,314.0949401855469,541.6539916992188,1663.96240234375,404.3809814453125,400.6598205566406,886.962890625,430.37579345703125,411.56939697265625,1038.410888671875,1378.9613037109375,238.5039520263672,244.3645477294922,233.69912719726562,238.60240173339844,0.0,0.0,1380.3065185546875,0.0,0.0,1347.7762451171875
40,238.34500122070312,280.7602844238281,284.79522705078125,469.52484130859375,1364.3421630859375,296.5233459472656,516.832275390625,1579.698486328125,375.01202392578125,371.3725891113281,879.6324462890625,429.857177734375,379.0203552246094,963.8795166015625,1381.561767578125,227.12828063964844,230.3740692138672,228.0168914794922,233.91868591308594,0.0,0.0,0.0,0.0,0.0,1345.6201171875
41,238.5088653564453,280.8484802246094,283.9966735839844,448.1892395019531,1305.672119140625,299.8153381347656,499.3260498046875,1479.78955078125,378.37152099609375,374.45526123046875,885.0972290039062,430.2892761230469,374.3520202636719,954.3754272460938,1378.9468994140625,230.57888793945312,233.60279846191406,231.35467529296875,233.93186950683594,0.0,0.0,1380.250244140625,0.0,0.0,1344.53466796875
42,228.24557495117188,271.5851745605469,272.77734375,436.5611572265625,1204.3212890625,281.52392578125,465.279052734375,1283.759033203125,373.5603942871094,370.15142822265625,849.6279907226562,429.8274230957031,372.8764953613281,923.4700927734375,1381.6204833984375,221.29173278808594,224.11322021484375,217.67437744140625,209.81285095214844,0.0,0.0,0.0,0.0,0.0,0.0
43,217.75355529785156,266.41729736328125,245.7012176513672,390.79595947265625,1101.0596923828125,277.53167724609375,449.00848388671875,1226.06494140625,354.6788024902344,351.791259765625,822.0706787109375,428.80841064453125,354.13885498046875,892.8964233398438,427.334716796875,219.74649047851562,219.5326385498047,199.33067321777344,205.40493774414062,0.0,0.0,0.0,0.0,0.0,428.3702087402344
44,217.79052734375,266.1566162109375,241.6680145263672,376.5755920410156,1010.157958984375,274.2117004394531,420.8292541503906,1142.3287353515625,351.3971862792969,348.7061462402344,809.516357421875,428.811767578125,351.8914794921875,886.63330078125,427.3371276855469,219.7834014892578,219.6364288330078,202.32887268066406,205.5977325439453,0.0,0.0,0.0,0.0,0.0,428.68695068359375
45,216.49102783203125,257.02093505859375,243.10733032226562,366.20452880859375,959.0448608398438,277.7913818359375,391.75030517578125,994.1066284179688,342.01812744140625,338.99749755859375,797.7761840820312,428.36328125,341.326171875,882.1985473632812,426.7800598144531,219.7268524169922,215.1106414794922,201.70091247558594,201.59942626953125,0.0,0.0,0.0,0.0,0.0,428.66705322265625
46,219.9669647216797,257.04541015625,238.54611206054688,359.3038635253906,923.5325927734375,275.1515808105469,382.62646484375,958.4185180664062,349.0223388671875,350.501953125,818.8943481445312,427.5674743652344,355.4361572265625,907.1903686523438,426.9398498535156,219.8012237548828,218.41351318359375,201.76918029785156,205.144287109375,0.0,0.0,1381.6285400390625,0.0,0.0,1767.4971923828125
47,231.4895477294922,249.08453369140625,226.05418395996094,347.238525390625,874.4006958007812,274.402099609375,356.07684326171875,895.4532470703125,350.7705383300781,351.14520263671875,769.307373046875,427.7066650390625,350.59295654296875,848.783203125,427.38775634765625,220.09127807617188,223.17677307128906,201.9434814453125,209.53713989257812,0.0,0.0,0.0,0.0,0.0,1767.5286865234375
48,240.78919982910156,262.8691101074219,237.9713592529297,339.6003112792969,841.8564453125,274.8266296386719,348.41241455078125,877.3728637695312,350.8262634277344,354.76385498046875,797.2930908203125,427.35906982421875,350.7534484863281,869.7963256835938,428.25146484375,224.7393035888672,227.97787475585938,210.97512817382812,214.22430419921875,0.0,0.0,428.7785949707031,0.0,0.0,1768.7733154296875
49,244.11228942871094,266.4019470214844,238.06405639648438,336.55029296875,815.377197265625,278.69757080078125,335.6182556152344,853.0603637695312,344.8388671875,348.4884033203125,755.3099365234375,427.3638916015625,341.27630615234375,842.6973266601562,427.50262451171875,227.94007873535156,228.0087127685547,211.0839080810547,217.5885467529297,0.0,0.0,1796.9578857421875,0.0,0.0,1768.7757568359375
50,248.7758331298828,269.9630432128906,253.56309509277344,328.7693786621094,819.9705810546875,282.5197448730469,353.7254638671875,905.1268310546875,349.5777893066406,349.91357421875,792.5073852539062,427.1078186035156,346.04229736328125,836.9439697265625,386.7685546875,228.02838134765625,228.27084350585938,219.20657348632812,225.86880493164062,1791.1346435546875,1801.3687744140625,396.0518798828125,0.0,0.0,1767.5316162109375
51,253.60255432128906,270.15386962890625,253.79615783691406,341.0882568359375,832.0023193359375,283.0319519042969,337.114990234375,812.4901733398438,361.2220764160156,361.4103698730469,807.2396850585938,426.8101806640625,359.2065124511719,879.8846435546875,362.2780456542969,232.5751953125,236.20040893554688,228.16458129882812,235.65988159179688,1791.088623046875,1802.7335205078125,1381.6507568359375,1762.8109130859375,1762.8359375,1766.3316650390625
52,256.8883972167969,270.3216247558594,257.0436706542969,344.1766357421875,852.0065307617188,283.1947326660156,361.54852294921875,894.312744140625,361.21807861328125,361.3833923339844,800.0155029296875,426.8957824707031,362.5880432128906,863.5360717773438,362.5350646972656,232.63063049316406,236.2264404296875,228.27584838867188,239.07859802246094,1791.0792236328125,1801.3031005859375,0.0,1762.806884765625,1762.8348388671875,1767.4833984375
53,256.8824462890625,270.23846435546875,252.55404663085938,336.3810119628906,864.8946533203125,283.1308288574219,352.6512451171875,865.8109130859375,340.5005798339844,344.1378479003906,776.8733520507812,426.7769775390625,340.27056884765625,872.8587036132812,380.937255859375,232.6696319580078,236.2428741455078,223.68014526367188,233.95159912109375,1788.2938232421875,1799.7911376953125,0.0,1761.62744140625,1761.6756591796875,1766.291015625
54,247.8459014892578,265.70404052734375,252.5005645751953,333.068115234375,860.776123046875,286.8180236816406,348.146484375,861.1704711914062,340.1503601074219,340.30072021484375,775.5538940429688,426.8876953125,340.05621337890625,863.6007690429688,380.9839172363281,231.45481872558594,232.04931640625,219.40176391601562,225.25057983398438,1786.918701171875,1796.8504638671875,0.0,1762.7955322265625,1763.9693603515625,1766.29833984375
55,247.80325317382812,269.0827941894531,252.3351593017578,332.84149169921875,855.9624633789062,289.7091369628906,354.90020751953125,870.8821411132812,343.6618347167969,343.86090087890625,791.4076538085938,427.0044860839844,343.6007385253906,870.32666015625,375.8885498046875,231.48069763183594,235.7661590576172,222.4756622314453,232.63687133789062,1788.28076171875,1796.8651123046875,0.0,1762.8028564453125,1763.97265625,1766.2996826171875
